json_file_path,top_entities
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L21_V026\250.json,"Car, Clothing, Bicycle, Person, Human face, Man, Glasses, Skyscraper, Tower, Toy, Flag, Human hair, Land vehicle, Shirt, Human head, Human arm, Boy, Woman, Building, Human hand"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L17_V012\235.json,"Clothing, Man, Person, Human face, Skyscraper, Shirt, Building, Toy, Tower, Human hair, Human head, Trousers, Tree, Sports uniform, Human arm, Poster, Television, Mammal, House, Furniture"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L17_V012\249.json,"Human face, Woman, Clothing, Person, Man, Toy, Dress, Girl, Television, Sports uniform, Human head, Poster, Human hair, Tablet computer, Human arm, Human nose, Ball, Human mouth, Human eye, Suit"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L03_V021\203.json,"Human face, Woman, Person, Clothing, Man, Girl, Footwear, Human hair, Human arm, Tree, Human head, Dress, Sports equipment, Mammal, Human body, Boy"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L17_V021\097.json,"Dress, Woman, Person, Television, Footwear, Human face, Clothing, Skyscraper, Door, Building, Land vehicle, Vehicle, Girl, Window, Human arm, Computer monitor, Tower, Poster, Human leg, Human head"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L17_V028\233.json,"Tower, Tree, Flag, Billboard, Building, Plant, Boat, Vehicle, Skyscraper, Poster, Watercraft, Land vehicle, Chair, House, Car, Street light, Airplane"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L11_V004\216.json,"Clothing, Human face, Man, Person, Poster, Woman, Skyscraper, Glasses, Billboard, Human hair, Shirt, Tower, Human head, Human hand, Human arm, Human body, Toy, Sports uniform, Boy, Girl"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L14_V013\263.json,"Building, Tree, Billboard, Vehicle, Poster, Land vehicle, Window, Person, Skyscraper, House, Mammal, Man, Clothing, Car, Plant"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L13_V024\208.json,"Human face, Woman, Person, Clothing, Dress, Girl, Television, Human head, Man, Human hair, Scoreboard, Jacket, Suit, Toy, Sports uniform, Mammal, Human arm, Human eye, Human nose, Human hand"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L18_V001\349.json,"Human face, Clothing, Man, Girl, Person, Woman, Footwear, Human head, Boy, Human arm, Car, Human body, Human hair, Human mouth, Television, Mammal, Sports equipment, Human nose, Human hand, Jeans"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L14_V007\301.json,"Tree, Person, Vehicle, Land vehicle, Toy, Umbrella, Plant, Car, Sculpture, Clothing, Window, Man"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L07_V023\263.json,"Golf ball, Person, Sports equipment, Toy, Poster, Man, Bird, Clothing, Human head, Sports uniform, Ball, Mammal, Flag, Flower, Fish, Kite, Boy, Human body, Human hair, Woman"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L20_V001\228.json,"Person, Human face, Poster, Human head, Clothing, Flower, Television, Food, Candy, Tree, Fish, Auto part, Mammal, Land vehicle, Toy, Swimming pool, Human hair, Human body, Fashion accessory, Snack"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L22_V021\292.json,"Tower, Building, Tree, Vehicle, Car, Person, Street light, House, Land vehicle, Boat, Skyscraper, Ladder, Mammal, Clothing, Man"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L18_V014\085.json,"Window blind, Poster, Building, Piano, Musical keyboard, Accordion, Window, Book, Musical instrument, Organ, Stairs, House, Office supplies, Vehicle, Guitar, Land vehicle, Skyscraper, Auto part, Curtain, Train"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L07_V017\176.json,"Building, Person, Footwear, Window, Umbrella, Tree, Man, Clothing, Plant, Woman"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L19_V007\232.json,"Human face, Clothing, Toy, Person, Woman, Girl, Human head, Human nose, Man, Human hand, Flower, Balloon, Human mouth, Boy, Human hair, Doll, Human leg, Mammal, Candy, Human body"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L01_V025\194.json,"Shirt, Man, Person, Human face, Clothing, Skyscraper, Tower, Toy, Human hair, Human head, Suit, Glasses, Human arm, Human hand, Television, Building, Jeans, Trousers, Mammal, Bowling equipment"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L15_V015\266.json,"Clothing, Man, Watercraft, Human face, Skyscraper, Shirt, Person, Vehicle, Tower, Poster, Land vehicle, Building, Boat, Trousers, Suit, Human hair, Train, Human head, Table, Book"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L01_V031\312.json,"Human face, Person, Woman, Clothing, Girl, Dress, Man, Human hair, Human arm, Sports uniform, Television, Human head, Sports equipment, Human body, Poster, Mammal, Boy, Shirt, Billboard"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L06_V017\264.json,"Clothing, Man, Human face, Person, Shirt, Glasses, Woman, Suit, Human head, Skyscraper, Human hair, Human arm, Boy, Tower"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L11_V026\301.json,"Clothing, Man, Footwear, Skyscraper, Tower, Trousers, Person, Human face, Television, Vehicle, Building, Suit, Furniture, Human head, Human arm, Mammal, Boat, Watercraft, Poster, Human leg"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L14_V003\188.json,"Person, Building, Clothing, Window, Footwear, Man, Shelf, Poster, Coat, Human head, Furniture, Human face, House, Jacket, Door, Toy, Human arm, Woman, Human body, Picture frame"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L22_V020\297.json,"Flag, Man, Clothing, Human face, Person, Shirt, Skyscraper, Woman, Tower, Poster, Glasses, Billboard, Toy, Human head, Human arm, Human hand, Trousers, Human hair, Girl, Boy"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L14_V005\352.json,"Man, Shirt, Clothing, Flag, Human face, Person, Woman, Poster, Billboard, Skyscraper, Glasses, Tower, Girl, Human hand, Human head, Human hair, Sports uniform, Human body, Human arm, Boy"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L11_V011\237.json,"Person, Poster, Human hand, Clothing, Human face, Human arm, Mobile phone, Man, Camera, Human head, Drum, Human body, Musical instrument, Guitar, Mammal, Woman, Television, Human hair"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L13_V020\240.json,"Human face, Person, Clothing, Woman, Man, Dress, Girl, Bowling equipment, Footwear, Sports uniform, Poster, Human arm, Human head, Billboard, Human hair, Boy, Human body, Human nose, Human eye, Television"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L02_V004\042.json,"Person, Tree, Clothing, Man, Land vehicle, Wheel, Footwear, Boy, Tire, Motorcycle, Plant, Vehicle"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L10_V019\066.json,"Clothing, Human face, Woman, Glasses, Man, Person, Poster, Human head, Human hair, Television, Human arm, Girl, Human body, Dress, Toy, Window"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L01_V013\253.json,"Building, Table, Clothing, Footwear, Shelf, Toy, Person, Desk, Office building, Countertop, Office supplies, Coffee table, Box, Furniture, Sports equipment, Volleyball, Medical equipment, Man, Fashion accessory, Cabinetry"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L13_V026\288.json,"Toy, Person, Clothing, Man, Building, Poster, Tree, Flag"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L13_V019\254.json,"Human face, Clothing, Woman, Person, Man, Girl, Television, Sports uniform, Fashion accessory, Human arm, Dress, Human hair, Human head, Human hand, Poster, Human nose, Human body, Boy, Doll, Human eye"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L14_V012\299.json,"Clothing, Man, Human face, Poster, Shirt, Person, Skyscraper, Woman, Tower, Billboard, Human hair, Human hand, Human head, Building, Human arm, Human body, Girl, Hat, Dress, Trousers"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L22_V014\272.json,"Clothing, Man, Person, Human face, Woman, Boat, Watercraft, Food, Girl, Vehicle, Human hair, Car, Land vehicle, Snack, Human arm, Human head, Fast food, Television, Building, Human body"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L07_V025\260.json,"Man, Human face, Woman, Clothing, Girl, Toy, Person, Boy, Helmet, Human head"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L19_V031\176.json,"Street light, Box, Person, Poster, Clothing, Tree, Mammal, Land vehicle, Vehicle, Billboard, Building, Man, Furniture, Car, House, Plant, Airplane, Tower"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L20_V006\315.json,"House, Plant, Tree, Houseplant, Building, Person, Vehicle, Swimming pool, Boat, Watercraft, Land vehicle, Window, Tire, Wheel, Barge, Car"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L11_V021\237.json,"Man, Human face, Clothing, Flag, Shirt, Person, Poster, Glasses, Woman, Billboard, Skyscraper, Human hand, Human hair, Girl, Toy, Human head, Human arm, Tower, Television, Sports uniform"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L11_V020\308.json,"Human face, Television, Woman, Clothing, Girl, Man, Poster, Person, Dress, Human hair, Human arm, Computer monitor, Human head, Human hand, Human eye, Human nose, Billboard, Plant, Human mouth, Fashion accessory"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L06_V017\153.json,"Footwear, Woman, Girl, Man, Person, Clothing, Dress, Human face, Human leg"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L12_V019\265.json,"Bicycle, Person, Bicycle wheel, Man, Woman, Wheel, Sculpture, Land vehicle, Window, Footwear, Clothing, Building, Dress, Human face, Tire, Vehicle, Human body, Girl"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L13_V021\265.json,"Human face, Woman, Dress, Clothing, Person, Toy, Girl, Man, Human head, Human arm, Poster, Human hair, Human body, Building"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L18_V006\400.json,"Person, Ball, Clothing, Footwear, Man, Boy, Sports equipment, Vehicle, Human hair, Girl, Boat, Woman, Table tennis racket, Sheep, Mammal, Human head, Car, Football, Human body, Shorts"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L11_V018\302.json,"Human face, Girl, Dress, Person, Man, Woman, Clothing, Human head, Human arm, Human hand, Footwear, Land vehicle, Fashion accessory, Human hair, Vehicle, Human nose, Human body, Boy, Poster, Doll"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L08_V018\274.json,"Clothing, Human face, Person, Man, Skyscraper, Tower, Shirt, Footwear, Woman, Toy, Television, Human head, Human arm, Poster, Trousers, Human hair, Billboard, Human leg"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L22_V020\281.json,"Clothing, Man, Christmas tree, Human face, Poster, Plant, Book, Person, Shirt, Skyscraper, Tree, Glasses, Tower, Human hair, Window, Human head, Houseplant, Human arm, Picture frame, Boy"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L13_V004\271.json,"Man, Clothing, Vehicle, Person, Footwear, Boat, Skyscraper, Building, Human face, Television, Watercraft, Human hair, Car, Land vehicle, Poster, Billboard, Human arm, Human head, Tower, Traffic sign"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L22_V002\192.json,"Man, Clothing, Woman, Person, Human face, Dress, Girl, Human head, Curtain, Sculpture, Doll, Toy, Human body, Pumpkin"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L19_V022\267.json,"Human face, Clothing, Girl, Woman, Dress, Poster, Television, Person, Human head, Human hand, Human hair, Human arm, Billboard, Human body, Man, Book, Human nose, Computer monitor, Human mouth, Fruit"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L13_V027\266.json,"Clothing, Man, Human face, Person, Sports equipment, Boy, Glasses, Footwear, Guitar, Musical instrument, Skyscraper, Human hair, Human head, Car, Ball, Shirt, Roller skates, Tie, Sports uniform, Human body"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L21_V026\274.json,"Car, Person, Vehicle, Wheel, Land vehicle, Motorcycle, Clothing, Man, Tire, Tree, Boat, Window, Poster, Building, Bicycle"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L20_V001\242.json,"Candy, Flower, Fashion accessory, Popcorn, Tree, Food, Plant, Dessert, Cake, Bottle, Toy, Fruit, Snack, Rose, Honeycomb, Christmas tree, Auto part, Baked goods, Tart, Beehive"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L14_V025\272.json,"Clothing, Man, Person, Football, Human face, Sports equipment, Skyscraper, Sports uniform, Land vehicle, Shirt, Vehicle, Tower, Woman, Glasses, Ball, Human arm, Human hair, Human head, Boy, Mammal"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L13_V026\276.json,"Human face, Woman, Clothing, Man, Person, Footwear, Girl, Dress, Human hair, Human head, Boy, Sports equipment, Car, Human arm, Sports uniform, Shirt, Mammal, Human body"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L21_V019\197.json,"Dress, Woman, Footwear, Human face, Television, Skyscraper, Lantern, Person, Clothing, Girl, Candle, Tower, Computer monitor, Camera, Human hair, Building, Land vehicle, Scoreboard, Human leg, Human head"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L02_V028\239.json,"Man, Clothing, Human face, Person, Skyscraper, Woman, Tower, Shirt, Tree, Human head, Umbrella, Human hair, Human arm, Girl, Sports uniform, Human eye, Vehicle, Flag, Human body, Tent"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L18_V002\011.json,"Person, Clothing, Flower, Human face, Man, Tree, Woman, Poster, Human body, Human head, Plant, Toy, Sports uniform"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L11_V009\291.json,"Human face, Person, Flag, Human head, Clothing, Man, Mammal, Sports uniform, Girl, Human hair, Poster, Snack, Book, Office supplies, Billboard, Human arm, Woman, Box, Human body, Human hand"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L07_V007\213.json,"Clothing, Man, Person, Human face, Building, Trousers, Skyscraper, Poster, Woman, Human head, Human leg, Tower, Human arm, Jeans, Human hair, Sports uniform"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L19_V026\194.json,"Clothing, Human face, Man, Person, Poster, Woman, Glasses, Billboard, Shirt, Footwear, Human hair, Human hand, Human head, Flag, Skyscraper, Human body, Sports uniform, Human arm, Toy, Boy"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L10_V025\352.json,"Flag, Clothing, Man, Human face, Person, Skyscraper, Shirt, Tower, Woman, Poster, Glasses, Billboard, Human hair, Trousers, Girl, Human head, Human arm, Human hand, Shorts, Footwear"
